날짜,에스네이처,일리윤,퓨리피아,연령대
2024-02-05,38.04878,62.43902,0.9756,10대
2024-02-12,54.63414,100.0,2.43902,10대
2024-02-19,35.60975,89.75609,0.9756,10대
2024-02-26,62.92682,97.56097,0.4878,10대
2024-03-04,33.17073,62.43902,0,10대
2024-03-11,24.87804,53.17073,0.9756,10대
2024-03-18,25.36585,41.95121,0.4878,10대
2024-03-25,21.95121,44.87804,0,10대
2024-04-01,16.09756,53.65853,1.46341,10대
2024-04-08,40.9756,56.09756,0.9756,10대
2024-04-15,30.2439,60.4878,0.9756,10대
2024-04-22,27.80487,39.02439,0,10대
2024-04-29,60.4878,38.04878,0,10대
2024-05-06,51.21951,61.46341,0,10대
2024-05-13,36.58536,63.90243,0.4878,10대
2024-05-20,42.92682,46.82926,0.4878,10대
2024-05-27,52.68292,49.26829,0.9756,10대
2024-06-03,48.29268,59.02439,0,10대
2024-06-10,30.7317,51.21951,0,10대
2024-06-17,41.95121,37.56097,0.9756,10대
2024-06-24,40.9756,27.80487,0.4878,10대
2024-07-01,30.7317,39.51219,0.4878,10대
2024-07-08,32.68292,37.56097,1.46341,10대
2024-07-15,41.95121,32.68292,1.46341,10대
2024-07-22,50.2439,43.90243,4.39024,10대
2024-07-29,47.80487,49.75609,1.46341,10대
2024-08-05,40.0,58.04878,1.95121,10대
2024-08-12,37.07317,52.19512,2.92682,10대
2024-08-19,31.21951,40.0,2.43902,10대
2024-08-26,45.85365,52.19512,2.92682,10대
2024-09-02,52.68292,45.36585,3.90243,10대
2024-09-09,45.85365,35.60975,1.95121,10대
2024-09-16,46.34146,40.0,5.85365,10대
2024-09-23,50.2439,49.26829,3.90243,10대
2024-09-30,40.4878,49.26829,9.26829,10대
2024-10-07,28.78048,51.70731,4.87804,10대
2024-10-14,33.65853,46.82926,11.21951,10대
2024-10-21,37.56097,28.78048,1.46341,10대
2024-10-28,37.07317,42.92682,4.39024,10대
2024-11-04,41.46341,58.04878,0.9756,10대
2024-11-11,33.65853,41.95121,1.95121,10대
2024-11-18,32.68292,77.56097,5.85365,10대
2024-11-25,41.95121,69.75609,5.36585,10대
2024-12-02,52.19512,92.19512,6.34146,10대
2024-12-09,39.51219,76.58536,3.41463,10대
2024-12-16,28.78048,71.70731,2.92682,10대
2024-12-23,25.85365,68.29268,1.95121,10대
2024-12-30,36.09756,62.92682,0.9756,10대
2025-01-06,37.07317,65.36585,5.85365,10대
2025-01-13,53.65853,53.17073,4.87804,10대
2025-01-20,41.95121,58.53658,1.95121,10대
2025-01-27,62.92682,66.34146,2.92682,10대
2025-02-03,60.0,74.14634,5.36585,10대
2025-02-10,59.02439,81.46341,3.41463,10대
2024-02-05,37.70405,64.82359,0.94786,20대
2024-02-12,50.23696,73.35439,1.94839,20대
2024-02-19,40.65297,64.87625,1.63243,20대
2024-02-26,52.18536,77.14586,1.00052,20대
2024-03-04,53.92311,75.72406,1.05318,20대
2024-03-11,40.17904,69.66824,0.94786,20대
2024-03-18,38.07266,63.45444,0.94786,20대
2024-03-25,37.70405,61.03212,1.52711,20대
2024-04-01,39.07319,55.71353,1.31648,20대
2024-04-08,49.76303,59.2417,1.4218,20대
2024-04-15,40.33701,58.29383,1.05318,20대
2024-04-22,36.96682,58.24117,0.84254,20대
2024-04-29,54.29173,70.45813,0.8952,20대
2024-05-06,51.81674,68.19378,1.31648,20대
2024-05-13,48.49921,73.88098,1.1585,20대
2024-05-20,50.86887,56.87203,0.68457,20대
2024-05-27,56.92469,69.03633,1.00052,20대
2024-06-03,57.87256,67.40389,1.26382,20대
2024-06-10,45.9189,75.9347,0.73723,20대
2024-06-17,41.6535,54.13375,1.36914,20대
2024-06-24,46.07688,49.60505,0.94786,20대
2024-07-01,42.49605,54.29173,2.10637,20대
2024-07-08,42.70668,49.34175,2.47498,20대
2024-07-15,47.55134,44.07582,2.00105,20대
2024-07-22,53.23854,48.28857,3.00157,20대
2024-07-29,52.92259,43.75987,0.68457,20대
2024-08-05,48.13059,42.91732,1.26382,20대
2024-08-12,42.75934,50.55292,1.73775,20대
2024-08-19,39.23117,52.1327,1.79041,20대
2024-08-26,55.71353,55.87151,1.84307,20대
2024-09-02,63.34913,55.08162,1.73775,20대
2024-09-09,56.18746,39.38915,1.89573,20대
2024-09-16,43.23328,45.86624,1.47446,20대
2024-09-23,48.02527,56.87203,2.42232,20대
2024-09-30,44.91837,59.505,1.68509,20대
2024-10-07,40.65297,61.08478,2.26434,20대
2024-10-14,44.91837,63.08583,2.317,20대
2024-10-21,46.02422,57.08267,2.52764,20대
2024-10-28,54.18641,71.09004,2.68562,20대
2024-11-04,57.13533,81.46392,2.00105,20대
2024-11-11,45.28699,65.56082,2.21169,20대
2024-11-18,44.86571,90.52132,2.73828,20대
2024-11-25,53.23854,100.0,4.0021,20대
2024-12-02,58.55713,96.99842,2.52764,20대
2024-12-09,44.39178,86.09794,3.21221,20대
2024-12-16,43.44391,79.14691,3.10689,20대
2024-12-23,40.07372,62.40126,2.10637,20대
2024-12-30,48.60452,74.61822,1.21116,20대
2025-01-06,59.34702,75.35545,1.89573,20대
2025-01-13,52.39599,73.77567,2.42232,20대
2025-01-20,48.65718,56.55608,2.26434,20대
2025-01-27,53.13322,64.61295,2.10637,20대
2025-02-03,55.13428,89.04686,3.21221,20대
2025-02-10,54.55502,83.25434,1.4218,20대
2024-02-05,17.9083,62.46418,0.74498,30대
2024-02-12,21.11747,80.74498,0.94555,30대
2024-02-19,19.54154,71.60458,0.85959,30대
2024-02-26,25.38681,77.65042,0.77363,30대
2024-03-04,25.10028,76.5616,0.71633,30대
2024-03-11,17.4212,78.88252,0.77363,30대
2024-03-18,19.28366,65.84527,0.63037,30대
2024-03-25,19.85673,67.79369,1.11747,30대
2024-04-01,22.2063,61.89111,1.63323,30대
2024-04-08,23.69627,55.50143,0.94555,30대
2024-04-15,23.03724,61.69054,1.17478,30대
2024-04-22,19.59885,60.22922,1.17478,30대
2024-04-29,21.83381,63.58166,0.85959,30대
2024-05-06,24.61318,61.08882,1.60458,30대
2024-05-13,23.61031,63.40974,0.77363,30대
2024-05-20,25.12893,62.95128,0.80229,30대
2024-05-27,27.39255,62.17765,0.97421,30대
2024-06-03,25.61604,60.54441,0.74498,30대
2024-06-10,20.74498,67.10601,0.88825,30대
2024-06-17,19.59885,52.92263,1.37535,30대
2024-06-24,21.57593,52.40687,1.3467,30대
2024-07-01,21.80515,55.67335,1.23209,30대
2024-07-08,19.82808,49.6275,1.03151,30대
2024-07-15,22.23495,47.04871,1.23209,30대
2024-07-22,22.83667,45.44412,1.91977,30대
2024-07-29,24.64183,44.64183,0.45845,30대
2024-08-05,24.29799,45.47277,1.14613,30대
2024-08-12,21.89111,55.41547,1.14613,30대
2024-08-19,21.54727,50.37249,0.88825,30대
2024-08-26,26.90544,53.63896,1.17478,30대
2024-09-02,27.27793,56.90544,1.54727,30대
2024-09-09,25.93123,41.40401,2.06303,30대
2024-09-16,20.0573,47.96561,0.94555,30대
2024-09-23,22.43553,64.49856,1.60458,30대
2024-09-30,21.14613,67.16332,1.00286,30대
2024-10-07,20.71633,74.58452,1.11747,30대
2024-10-14,23.86819,76.10315,1.06017,30대
2024-10-21,23.89684,69.39828,1.23209,30대
2024-10-28,25.64469,74.98567,1.20343,30대
2024-11-04,26.79083,81.51862,1.3467,30대
2024-11-11,21.23209,69.5702,1.20343,30대
2024-11-18,24.09742,83.86819,1.74785,30대
2024-11-25,27.39255,94.18338,2.03438,30대
2024-12-02,27.47851,85.53008,1.97707,30대
2024-12-09,23.9255,88.65329,1.20343,30대
2024-12-16,23.0659,86.50429,2.03438,30대
2024-12-23,20.51575,72.89398,1.97707,30대
2024-12-30,24.21203,85.15759,1.66189,30대
2025-01-06,29.1977,83.26647,2.23495,30대
2025-01-13,27.19197,77.82234,2.14899,30대
2025-01-20,24.12607,62.37822,1.23209,30대
2025-01-27,25.01432,64.69914,0.94555,30대
2025-02-03,30.74498,94.18338,1.86246,30대
2025-02-10,30.02865,100.0,1.26074,30대
2024-02-05,15.21922,54.42664,1.34907,40대
2024-02-12,19.01349,77.44519,1.64418,40대
2024-02-19,17.28499,60.58178,0.5059,40대
2024-02-26,16.06239,67.5801,0.63237,40대
2024-03-04,17.24283,71.96458,1.0118,40대
2024-03-11,15.00843,70.23608,0.84317,40대
2024-03-18,17.24283,64.29173,1.05396,40대
2024-03-25,19.01349,61.29848,0.63237,40대
2024-04-01,17.07419,60.75042,1.18043,40대
2024-04-08,18.25463,53.37268,1.09612,40대
2024-04-15,17.41146,56.1973,0.63237,40대
2024-04-22,16.61045,58.17875,1.09612,40대
2024-04-29,18.04384,52.52951,0.71669,40대
2024-05-06,18.54974,59.61214,0.92748,40대
2024-05-13,21.96458,59.10623,1.47554,40대
2024-05-20,19.43507,56.1973,1.09612,40대
2024-05-27,22.80775,61.25632,0.80101,40대
2024-06-03,19.0978,55.90219,0.67453,40대
2024-06-10,16.14671,59.48566,1.68634,40대
2024-06-17,15.97807,54.80607,1.60202,40대
2024-06-24,12.98482,48.94603,1.47554,40대
2024-07-01,13.15345,51.18043,0.63237,40대
2024-07-08,13.57504,45.61551,0.92748,40대
2024-07-15,13.36424,45.06745,1.05396,40대
2024-07-22,18.97133,41.27318,0.88532,40대
2024-07-29,19.35075,38.4064,0.71669,40대
2024-08-05,17.32715,37.68971,0.88532,40대
2024-08-12,18.54974,49.83136,1.13827,40대
2024-08-19,17.45362,43.46543,1.26475,40대
2024-08-26,19.47723,43.50758,1.18043,40대
2024-09-02,19.89881,52.36087,1.05396,40대
2024-09-09,15.6408,36.46711,1.81281,40대
2024-09-16,15.93591,43.67622,0.80101,40대
2024-09-23,16.90556,58.38954,1.81281,40대
2024-09-30,17.91736,65.97807,0.59021,40대
2024-10-07,14.41821,68.63406,0.54806,40대
2024-10-14,16.14671,69.8145,0.88532,40대
2024-10-21,14.03878,69.39291,0.71669,40대
2024-10-28,16.48397,73.22934,0.80101,40대
2024-11-04,21.45868,78.37268,0.88532,40대
2024-11-11,17.41146,70.02529,1.26475,40대
2024-11-18,19.22428,82.88364,1.47554,40대
2024-11-25,23.18718,90.30354,1.72849,40대
2024-12-02,24.15682,81.57672,1.68634,40대
2024-12-09,16.48397,91.18887,1.09612,40대
2024-12-16,18.84485,86.72006,0.88532,40대
2024-12-23,19.3086,70.86846,1.39123,40대
2024-12-30,18.97133,85.49747,1.43338,40대
2025-01-06,28.49915,80.31197,1.39123,40대
2025-01-13,25.54806,78.37268,1.89713,40대
2025-01-20,21.03709,65.34569,1.43338,40대
2025-01-27,20.95278,69.43507,0.92748,40대
2025-02-03,27.7403,93.086,1.89713,40대
2025-02-10,25.21079,100.0,1.77065,40대
2024-02-05,13.68038,44.91525,0.72639,50대
2024-02-12,14.64891,59.92736,1.81598,50대
2024-02-19,16.94915,54.23728,0.60532,50대
2024-02-26,17.91767,59.32203,0.84745,50대
2024-03-04,13.55932,68.40193,0.12106,50대
2024-03-11,11.01694,56.65859,0.36319,50대
2024-03-18,16.34382,54.11622,0.84745,50대
2024-03-25,15.13317,51.33171,0.84745,50대
2024-04-01,19.49152,48.66828,1.69491,50대
2024-04-08,18.40193,45.03631,0.72639,50대
2024-04-15,16.58595,41.04116,0.72639,50대
2024-04-22,14.28571,51.57384,1.45278,50대
2024-04-29,18.40193,43.94673,0.96852,50대
2024-05-06,22.03389,52.54237,0.48426,50대
2024-05-13,17.19128,51.21065,0.72639,50대
2024-05-20,19.85472,48.54721,0.60532,50대
2024-05-27,19.12832,47.33656,1.81598,50대
2024-06-03,19.12832,53.63196,0.96852,50대
2024-06-10,11.98547,43.09927,0.96852,50대
2024-06-17,12.59079,42.73607,0.72639,50대
2024-06-24,10.29055,36.80387,0.48426,50대
2024-07-01,10.89588,28.81355,0.60532,50대
2024-07-08,14.76997,35.23002,0.96852,50대
2024-07-15,15.85956,29.05569,0.84745,50대
2024-07-22,13.68038,36.44067,0.24213,50대
2024-07-29,18.40193,32.32445,0.12106,50대
2024-08-05,13.68038,34.14043,0.36319,50대
2024-08-12,15.85956,38.37772,0.60532,50대
2024-08-19,11.50121,37.28813,0.12106,50대
2024-08-26,17.67554,39.8305,1.08958,50대
2024-09-02,16.46489,40.31476,1.93704,50대
2024-09-09,16.46489,32.08232,1.08958,50대
2024-09-16,16.22276,40.5569,0.96852,50대
2024-09-23,19.49152,48.91041,0.48426,50대
2024-09-30,15.61743,60.29055,0.96852,50대
2024-10-07,13.19612,63.19612,0.48426,50대
2024-10-14,13.55932,61.01694,0.36319,50대
2024-10-21,13.07506,59.20096,0.84745,50대
2024-10-28,13.68038,61.01694,0.48426,50대
2024-11-04,17.55447,65.98062,1.45278,50대
2024-11-11,11.74334,60.89588,0.48426,50대
2024-11-18,20.70217,73.48668,0.36319,50대
2024-11-25,24.69733,77.72397,1.21065,50대
2024-12-02,21.54963,69.00726,0.84745,50대
2024-12-09,17.67554,76.87651,0.36319,50대
2024-12-16,19.12832,83.5351,0.72639,50대
2024-12-23,17.43341,61.13801,0.96852,50대
2024-12-30,16.34382,79.41888,0.72639,50대
2025-01-06,37.28813,66.70702,1.08958,50대
2025-01-13,22.27602,60.53268,1.57384,50대
2025-01-20,16.82808,57.02179,1.45278,50대
2025-01-27,21.42857,67.07021,0.96852,50대
2025-02-03,22.39709,100.0,0.84745,50대
2025-02-10,25.18159,83.5351,1.08958,50대
2024-02-05,11.21076,56.95067,1.34529,60대 이상
2024-02-12,14.34977,67.713,0.89686,60대 이상
2024-02-19,13.00448,50.67264,0.44843,60대 이상
2024-02-26,7.62331,61.8834,0,60대 이상
2024-03-04,8.52017,58.29596,0,60대 이상
2024-03-11,14.7982,55.60538,0.89686,60대 이상
2024-03-18,11.21076,49.32735,0,60대 이상
2024-03-25,13.45291,63.22869,0.89686,60대 이상
2024-04-01,10.76233,48.43049,0,60대 이상
2024-04-08,10.76233,53.36322,0,60대 이상
2024-04-15,14.34977,45.29147,0.44843,60대 이상
2024-04-22,13.45291,48.87892,0.89686,60대 이상
2024-04-29,18.83408,57.84753,2.24215,60대 이상
2024-05-06,10.3139,42.60089,0,60대 이상
2024-05-13,19.28251,64.12556,0.44843,60대 이상
2024-05-20,12.55605,37.21973,2.24215,60대 이상
2024-05-27,14.7982,56.95067,0,60대 이상
2024-06-03,16.59192,54.26008,2.69058,60대 이상
2024-06-10,8.52017,34.52914,1.79372,60대 이상
2024-06-17,9.41704,51.5695,0.44843,60대 이상
2024-06-24,13.00448,42.60089,0.44843,60대 이상
2024-07-01,5.82959,39.01345,0.89686,60대 이상
2024-07-08,10.76233,42.15246,0.44843,60대 이상
2024-07-15,9.86547,35.87443,0.44843,60대 이상
2024-07-22,14.34977,34.52914,0.44843,60대 이상
2024-07-29,17.04035,32.73542,0,60대 이상
2024-08-05,12.10762,34.08071,2.24215,60대 이상
2024-08-12,7.17488,41.2556,1.79372,60대 이상
2024-08-19,8.9686,44.39461,0.44843,60대 이상
2024-08-26,17.04035,34.52914,4.4843,60대 이상
2024-09-02,11.65919,47.98206,0.89686,60대 이상
2024-09-09,8.52017,26.45739,2.24215,60대 이상
2024-09-16,7.17488,47.53363,0.44843,60대 이상
2024-09-23,9.86547,63.67713,2.24215,60대 이상
2024-09-30,11.65919,55.15695,0.89686,60대 이상
2024-10-07,8.52017,58.74439,0.44843,60대 이상
2024-10-14,9.86547,71.74887,2.24215,60대 이상
2024-10-21,4.93273,50.22421,0.89686,60대 이상
2024-10-28,12.55605,63.22869,1.79372,60대 이상
2024-11-04,18.38565,61.8834,2.24215,60대 이상
2024-11-11,13.90134,56.05381,1.79372,60대 이상
2024-11-18,13.45291,75.33632,1.79372,60대 이상
2024-11-25,22.86995,72.64573,5.38116,60대 이상
2024-12-02,12.55605,72.1973,0.89686,60대 이상
2024-12-09,13.00448,91.03139,0.89686,60대 이상
2024-12-16,8.9686,79.37219,0.44843,60대 이상
2024-12-23,5.82959,75.78475,1.34529,60대 이상
2024-12-30,13.90134,100.0,0,60대 이상
2025-01-06,30.04484,82.51121,0.44843,60대 이상
2025-01-13,17.04035,66.81614,0.89686,60대 이상
2025-01-20,13.45291,56.05381,3.13901,60대 이상
2025-01-27,9.41704,57.84753,0.44843,60대 이상
2025-02-03,12.10762,86.99551,4.4843,60대 이상
2025-02-10,13.45291,90.13452,0.44843,60대 이상
