날짜,닥터아토,바론시에,셀퓨전씨,에스네이처,연령대
2024-02-05,1.60919,0,43.67816,17.93103,10대
2024-02-12,1.83908,0,45.28735,25.74712,10대
2024-02-19,1.60919,0.22988,79.08045,16.7816,10대
2024-02-26,1.60919,0,100.0,29.65517,10대
2024-03-04,0.68965,0,54.48275,15.63218,10대
2024-03-11,0.68965,0,28.04597,11.72413,10대
2024-03-18,0.68965,0,28.73563,11.95402,10대
2024-03-25,2.52873,0,30.80459,10.34482,10대
2024-04-01,0.45977,0.68965,28.04597,7.5862,10대
2024-04-08,2.06896,0.22988,35.17241,19.31034,10대
2024-04-15,0.68965,0.91954,55.17241,14.25287,10대
2024-04-22,1.14942,0.68965,41.60919,13.10344,10대
2024-04-29,1.37931,0.22988,59.54022,28.50574,10대
2024-05-06,2.06896,0.45977,45.05747,24.13793,10대
2024-05-13,2.29885,0,37.93103,17.24137,10대
2024-05-20,2.06896,0.45977,44.13793,20.22988,10대
2024-05-27,1.14942,0,61.37931,24.82758,10대
2024-06-03,0.68965,0.68965,55.40229,22.75862,10대
2024-06-10,2.9885,0,35.86206,14.48275,10대
2024-06-17,1.37931,0,29.42528,19.77011,10대
2024-06-24,0.68965,0,35.63218,19.31034,10대
2024-07-01,1.37931,0,36.55172,14.48275,10대
2024-07-08,1.14942,0,45.28735,15.40229,10대
2024-07-15,1.37931,0.22988,32.1839,19.77011,10대
2024-07-22,1.60919,0,37.93103,23.67816,10대
2024-07-29,1.83908,0,37.70114,22.52873,10대
2024-08-05,1.83908,0.22988,41.83908,18.85057,10대
2024-08-12,4.36781,0.22988,31.72413,17.47126,10대
2024-08-19,0.45977,0,23.44827,14.71264,10대
2024-08-26,1.60919,0,32.41379,21.60919,10대
2024-09-02,0.22988,0,28.04597,24.82758,10대
2024-09-09,0.91954,0,24.36781,21.60919,10대
2024-09-16,0.45977,0,28.27586,21.83908,10대
2024-09-23,0.22988,0.22988,18.16091,23.67816,10대
2024-09-30,0.68965,0.22988,22.9885,19.08045,10대
2024-10-07,1.37931,0,26.89655,13.56321,10대
2024-10-14,0.91954,0.22988,22.52873,15.86206,10대
2024-10-21,1.14942,0,19.31034,17.70114,10대
2024-10-28,0.68965,0,23.21839,17.47126,10대
2024-11-04,0.45977,0,23.67816,19.54022,10대
2024-11-11,2.29885,0.91954,17.01149,15.86206,10대
2024-11-18,0.91954,0.22988,20.45977,15.40229,10대
2024-11-25,1.14942,0,20.91954,19.77011,10대
2024-12-02,0.91954,0,29.65517,24.5977,10대
2024-12-09,0.22988,0,21.60919,18.62068,10대
2024-12-16,0.45977,0,15.86206,13.56321,10대
2024-12-23,0.68965,0.22988,15.86206,12.1839,10대
2024-12-30,0.68965,0.22988,20.0,17.01149,10대
2025-01-06,0.22988,0.22988,27.81609,17.47126,10대
2025-01-13,1.37931,0.68965,43.90804,25.28735,10대
2025-01-20,0.45977,0,34.25287,19.77011,10대
2025-01-27,1.37931,0.22988,34.25287,29.65517,10대
2025-02-03,1.37931,0.68965,33.33333,28.27586,10대
2025-02-10,0.91954,0.45977,37.93103,27.81609,10대
2024-02-05,1.8044,0.18044,65.13893,25.83904,20대
2024-02-12,3.3201,0.21652,76.57885,34.428,20대
2024-02-19,2.7066,0.10826,84.91519,27.85997,20대
2024-02-26,2.74269,0.03608,87.98267,35.76326,20대
2024-03-04,3.10357,0.10826,86.71959,36.95416,20대
2024-03-11,2.63442,0.07217,62.8293,27.53518,20대
2024-03-18,3.86142,0.10826,63.83976,26.09166,20대
2024-03-25,2.88704,0.46914,56.40562,25.83904,20대
2024-04-01,2.12919,1.66005,58.75135,26.77733,20대
2024-04-08,3.10357,0.83002,66.22158,34.10321,20대
2024-04-15,3.50054,0.50523,82.82208,27.64345,20대
2024-04-22,2.49007,0.46914,68.49512,25.33381,20대
2024-04-29,3.68098,1.01046,89.42619,37.20678,20대
2024-05-06,4.47491,0.54132,74.73836,35.51064,20대
2024-05-13,3.82533,0.83002,67.73727,33.23709,20대
2024-05-20,4.36665,0.5774,79.89895,34.86106,20대
2024-05-27,4.65535,0.72176,95.59725,39.01118,20대
2024-06-03,3.82533,0.54132,100.0,39.66077,20대
2024-06-10,3.46445,1.08264,77.40887,31.46878,20대
2024-06-17,5.08841,0.93828,68.96427,28.54565,20대
2024-06-24,3.75315,0.46914,72.71743,31.57704,20대
2024-07-01,3.46445,0.32479,84.62648,29.12306,20대
2024-07-08,2.41789,0.50523,84.40996,29.26741,20대
2024-07-15,3.46445,1.08264,76.54276,32.58751,20대
2024-07-22,4.11403,0.46914,79.50198,36.48502,20대
2024-07-29,4.43883,1.47961,66.65463,36.26849,20대
2024-08-05,3.68098,0.25261,62.72103,32.98448,20대
2024-08-12,3.21183,0.46914,59.90617,29.3035,20대
2024-08-19,3.39227,0.64958,54.99819,26.8856,20대
2024-08-26,3.96968,0.93828,65.03067,38.18116,20대
2024-09-02,2.95922,0.46914,58.2822,43.41392,20대
2024-09-09,2.9953,0.75784,42.98087,38.50595,20대
2024-09-16,2.02093,0.32479,46.08444,29.62829,20대
2024-09-23,2.20137,0.64958,45.21833,32.9123,20대
2024-09-30,3.13966,0.5774,43.66654,30.78311,20대
2024-10-07,3.24792,0.50523,39.80512,27.85997,20대
2024-10-14,3.13966,0.72176,47.81667,30.78311,20대
2024-10-21,2.9953,0.83002,46.44532,31.54095,20대
2024-10-28,2.85095,1.1909,47.05882,37.1346,20대
2024-11-04,2.7066,1.15481,56.36954,39.15553,20대
2024-11-11,1.94875,0.54132,48.17755,31.03572,20대
2024-11-18,1.91266,0.83002,50.88415,30.74702,20대
2024-11-25,2.67051,0.61349,46.12053,36.48502,20대
2024-12-02,2.95922,1.01046,48.14146,40.12991,20대
2024-12-09,2.95922,0.54132,41.78996,30.42223,20대
2024-12-16,2.67051,0.72176,39.01118,29.77264,20대
2024-12-23,1.91266,0.61349,38.79465,27.463,20대
2024-12-30,2.49007,0.83002,38.46986,33.30927,20대
2025-01-06,1.87657,0.93828,42.25911,40.67123,20대
2025-01-13,2.74269,0.83002,61.09707,35.90761,20대
2025-01-20,1.76831,1.33525,51.17286,33.34536,20대
2025-01-27,1.62396,0.68567,47.16708,36.41284,20대
2025-02-03,1.62396,0.83002,48.89931,37.78419,20대
2025-02-10,2.23745,1.11872,47.74449,37.38722,20대
2024-02-05,6.74763,0.91093,79.45344,21.08636,30대
2024-02-12,8.29959,0.67476,91.93657,24.86504,30대
2024-02-19,6.84885,0.7085,83.8394,23.00944,30대
2024-02-26,7.96221,0.80971,79.04858,29.89203,30대
2024-03-04,7.89473,0.57354,84.71659,29.55465,30대
2024-03-11,8.29959,0.64102,72.94197,20.51282,30대
2024-03-18,8.29959,0.67476,84.21052,22.7058,30대
2024-03-25,8.5695,0.74224,76.75438,23.38056,30대
2024-04-01,7.92847,1.11336,82.86099,26.14709,30대
2024-04-08,8.73819,0.91093,87.92172,27.90148,30대
2024-04-15,9.51417,1.18083,97.80701,27.1255,30대
2024-04-22,8.80566,0.87719,83.94062,23.07692,30대
2024-04-29,8.67071,1.24831,88.46153,25.7085,30대
2024-05-06,9.78407,0.87719,90.92442,28.9811,30대
2024-05-13,10.18893,0.67476,81.51147,27.80026,30대
2024-05-20,10.32388,0.94466,89.20377,29.58839,30대
2024-05-27,11.16734,1.51821,99.39271,32.25371,30대
2024-06-03,9.88529,0.67476,100.0,30.16194,30대
2024-06-10,10.695,1.04588,92.27395,24.42645,30대
2024-06-17,11.80836,1.6869,86.06612,23.07692,30대
2024-06-24,8.8394,0.94466,85.49257,25.40485,30대
2024-07-01,7.6923,0.94466,83.33333,25.67476,30대
2024-07-08,9.07557,0.91093,75.43859,23.34682,30대
2024-07-15,8.29959,0.94466,71.89608,26.18083,30대
2024-07-22,9.85155,1.75438,71.08636,26.88933,30대
2024-07-29,9.34547,2.22672,80.5668,29.01484,30대
2024-08-05,10.29014,1.18083,72.30094,28.60998,30대
2024-08-12,8.53576,0.7085,65.92442,25.77597,30대
2024-08-19,9.10931,1.45074,62.5506,25.37112,30대
2024-08-26,9.61538,1.58569,64.94601,31.68016,30대
2024-09-02,8.23211,1.01214,71.05263,32.11875,30대
2024-09-09,6.84885,1.24831,54.21727,30.53306,30대
2024-09-16,5.1282,1.18083,55.90418,23.61673,30대
2024-09-23,5.8367,0.9784,58.63697,26.417,30대
2024-09-30,6.37651,0.94466,55.63427,24.89878,30대
2024-10-07,8.90688,0.77597,51.48448,24.39271,30대
2024-10-14,6.41025,0.9784,62.71929,28.10391,30대
2024-10-21,6.00539,0.9784,63.09041,28.13765,30대
2024-10-28,6.57894,1.07962,63.76518,30.19568,30대
2024-11-04,7.01754,1.14709,69.46693,31.5452,30대
2024-11-11,7.32118,1.01214,67.91497,25.0,30대
2024-11-18,7.45614,0.91093,65.04723,28.37381,30대
2024-11-25,7.55735,0.91093,61.94331,32.25371,30대
2024-12-02,8.8394,1.11336,63.63022,32.35492,30대
2024-12-09,8.60323,1.11336,60.66126,28.17139,30대
2024-12-16,7.18623,1.18083,56.10661,27.15924,30대
2024-12-23,6.14035,0.74224,55.16194,24.15654,30대
2024-12-30,6.64642,0.67476,51.24831,28.50877,30대
2025-01-06,6.07287,1.21457,61.03238,34.37921,30대
2025-01-13,6.41025,1.48448,75.23616,32.01754,30대
2025-01-20,5.19568,0.87719,71.49122,28.40755,30대
2025-01-27,5.90418,0.9784,56.68016,29.45344,30대
2025-02-03,6.20782,1.07962,65.35087,36.20107,30대
2025-02-10,8.36707,1.58569,67.00404,35.35762,30대
2024-02-05,5.14208,0.63148,75.9585,16.28326,40대
2024-02-12,8.25439,0.49616,95.08344,20.3428,40대
2024-02-19,7.17185,0.36084,82.81461,18.49345,40대
2024-02-26,6.45015,0.31574,76.49977,17.18538,40대
2024-03-04,8.61524,1.17275,76.77041,18.44835,40대
2024-03-11,8.43482,0.72169,70.99684,16.05773,40대
2024-03-18,7.44248,1.03743,87.32521,18.44835,40대
2024-03-25,8.11907,1.26296,80.64952,20.3428,40대
2024-04-01,7.66801,0.7668,82.67929,18.26792,40대
2024-04-08,7.98376,0.67658,88.49797,19.53089,40대
2024-04-15,11.09607,0.54127,100.0,18.62877,40대
2024-04-22,8.07397,1.21786,89.35498,17.77176,40대
2024-04-29,8.57013,3.33784,88.0018,19.30536,40대
2024-05-06,8.79566,1.89445,84.79927,19.84663,40대
2024-05-13,9.96842,2.48082,80.33378,23.50022,40대
2024-05-20,10.69012,2.25529,90.75327,20.79386,40대
2024-05-27,10.82543,1.03743,85.06991,24.40234,40대
2024-06-03,8.66035,0.45105,86.73883,20.43301,40대
2024-06-10,8.57013,1.48849,85.83671,17.27559,40대
2024-06-17,11.59224,2.16508,80.01804,17.09517,40대
2024-06-24,10.28416,1.93955,72.57555,13.89264,40대
2024-07-01,8.11907,2.79657,68.11005,14.07307,40대
2024-07-08,7.75823,0.90211,71.08705,14.52413,40대
2024-07-15,7.44248,1.84934,64.09562,14.2986,40대
2024-07-22,7.84844,1.35317,63.01308,20.29769,40대
2024-07-29,9.33694,1.75913,64.99774,20.70365,40대
2024-08-05,7.93865,0.40595,70.18493,18.53856,40대
2024-08-12,7.39738,1.66892,63.77988,19.84663,40대
2024-08-19,7.5778,1.08254,63.05818,18.67388,40대
2024-08-26,7.80333,1.66892,62.69733,20.83897,40대
2024-09-02,7.84844,1.93955,62.4267,21.29003,40대
2024-09-09,4.87144,0.7668,49.79702,16.73432,40대
2024-09-16,4.87144,0.94722,56.78845,17.05006,40대
2024-09-23,6.76589,0.94722,58.81822,18.0875,40대
2024-09-30,4.23996,1.26296,54.1723,19.17004,40대
2024-10-07,5.63824,0.45105,56.78845,15.42625,40대
2024-10-14,6.67568,0.7668,55.97654,17.27559,40대
2024-10-21,5.86377,1.30807,57.9161,15.02029,40대
2024-10-28,4.82634,1.75913,57.51014,17.63644,40대
2024-11-04,5.72846,0.85701,65.99007,22.95895,40대
2024-11-11,5.3225,0.54127,62.92286,18.62877,40대
2024-11-18,6.67568,1.5336,66.39603,20.56833,40대
2024-11-25,5.59314,0.85701,60.12629,24.80829,40대
2024-12-02,5.99909,1.5336,68.96707,25.84573,40대
2024-12-09,6.72079,1.26296,61.75011,17.63644,40대
2024-12-16,4.5557,1.03743,63.1935,20.16238,40대
2024-12-23,4.60081,0.72169,61.75011,20.65854,40대
2024-12-30,4.82634,0.45105,57.32972,20.29769,40대
2025-01-06,5.59314,0.63148,66.71177,30.49165,40대
2025-01-13,5.18718,0.67658,74.69553,27.33423,40대
2025-01-20,4.96165,0.7668,74.33468,22.50789,40대
2025-01-27,4.78123,0.90211,65.67433,22.41768,40대
2025-02-03,5.95399,1.03743,78.12359,29.67974,40대
2025-02-10,5.2774,1.75913,71.40279,26.97338,40대
2024-02-05,3.68852,0.27322,69.80874,15.43715,50대
2024-02-12,5.19125,0.40983,78.55191,16.53005,50대
2024-02-19,6.69398,0.27322,71.31147,19.12568,50대
2024-02-26,6.69398,0.40983,72.8142,20.21857,50대
2024-03-04,7.37704,0,71.85792,15.30054,50대
2024-03-11,7.24043,0,66.39344,12.43169,50대
2024-03-18,7.92349,0,79.78142,18.44262,50대
2024-03-25,5.60109,1.2295,84.83606,17.0765,50대
2024-04-01,7.92349,0.13661,72.13114,21.99453,50대
2024-04-08,6.8306,0.27322,81.8306,20.76502,50대
2024-04-15,6.01092,0.40983,100.0,18.71584,50대
2024-04-22,6.28415,0.13661,85.10928,16.12021,50대
2024-04-29,4.23497,0.13661,92.21311,20.76502,50대
2024-05-06,5.05464,0.13661,82.92349,24.86338,50대
2024-05-13,5.46448,0.27322,75.95628,19.3989,50대
2024-05-20,9.153,0.27322,83.60655,22.40437,50대
2024-05-27,9.153,0.54644,74.31693,21.58469,50대
2024-06-03,7.92349,0,84.83606,21.58469,50대
2024-06-10,10.51912,0.27322,78.82513,13.52459,50대
2024-06-17,8.0601,0.27322,70.62841,14.20765,50대
2024-06-24,6.96721,0.27322,74.45355,11.61202,50대
2024-07-01,6.01092,0.27322,60.92896,12.29508,50대
2024-07-08,7.37704,0.13661,74.18032,16.66666,50대
2024-07-15,7.10382,0.81967,55.05464,17.89617,50대
2024-07-22,6.01092,0.27322,65.9836,15.43715,50대
2024-07-29,8.60655,0.68306,65.84699,20.76502,50대
2024-08-05,6.8306,0.13661,59.01639,15.43715,50대
2024-08-12,6.01092,0.54644,60.38251,17.89617,50대
2024-08-19,6.8306,0.27322,61.4754,12.97814,50대
2024-08-26,3.68852,0,63.11475,19.94535,50대
2024-09-02,5.46448,0.13661,59.69945,18.57923,50대
2024-09-09,3.4153,0.13661,50.68306,18.57923,50대
2024-09-16,5.60109,0.13661,55.60109,18.30601,50대
2024-09-23,5.19125,0.68306,55.05464,21.99453,50대
2024-09-30,4.6448,0.13661,54.78142,17.62295,50대
2024-10-07,6.69398,0.95628,58.33333,14.89071,50대
2024-10-14,3.68852,0,53.14207,15.30054,50대
2024-10-21,3.4153,1.50273,59.56284,14.75409,50대
2024-10-28,4.6448,0.40983,52.45901,15.43715,50대
2024-11-04,3.68852,0.40983,57.37704,19.80874,50대
2024-11-11,3.4153,0,68.03278,13.25136,50대
2024-11-18,3.55191,0,60.38251,23.36065,50대
2024-11-25,5.32786,0.13661,67.62295,27.86885,50대
2024-12-02,5.05464,0.13661,65.16393,24.31693,50대
2024-12-09,5.60109,0.95628,64.61748,19.94535,50대
2024-12-16,4.78142,0.54644,70.4918,21.58469,50대
2024-12-23,4.91803,0.68306,64.34426,19.67213,50대
2024-12-30,3.55191,0.27322,63.38797,18.44262,50대
2025-01-06,3.68852,0.54644,59.69945,42.0765,50대
2025-01-13,3.55191,0.68306,74.72677,25.13661,50대
2025-01-20,3.55191,0.27322,73.63387,18.98907,50대
2025-01-27,4.23497,0.68306,59.42622,24.18032,50대
2025-02-03,4.50819,0.54644,84.28961,25.27322,50대
2025-02-10,4.6448,0.13661,72.67759,28.4153,50대
2024-02-05,6.25,0.625,47.5,15.625,60대 이상
2024-02-12,5.0,6.25,53.75,20.0,60대 이상
2024-02-19,5.0,0.625,73.125,18.125,60대 이상
2024-02-26,8.75,1.25,46.875,10.625,60대 이상
2024-03-04,13.75,0,59.375,11.875,60대 이상
2024-03-11,6.25,0,55.625,20.625,60대 이상
2024-03-18,5.0,0,100.0,15.625,60대 이상
2024-03-25,8.75,0,68.125,18.75,60대 이상
2024-04-01,8.125,0.625,71.25,15.0,60대 이상
2024-04-08,5.0,0.625,56.25,15.0,60대 이상
2024-04-15,8.75,0.625,81.25,20.0,60대 이상
2024-04-22,5.0,0,43.75,18.75,60대 이상
2024-04-29,4.375,0,64.375,26.25,60대 이상
2024-05-06,7.5,0,55.625,14.375,60대 이상
2024-05-13,10.625,0,57.5,26.875,60대 이상
2024-05-20,13.75,0,56.25,17.5,60대 이상
2024-05-27,5.0,0,69.375,20.625,60대 이상
2024-06-03,8.125,0,85.0,23.125,60대 이상
2024-06-10,5.0,0,73.125,11.875,60대 이상
2024-06-17,11.25,0,53.125,13.125,60대 이상
2024-06-24,12.5,0.625,51.875,18.125,60대 이상
2024-07-01,8.75,0.625,43.125,8.125,60대 이상
2024-07-08,10.0,0,44.375,15.0,60대 이상
2024-07-15,5.625,0.625,39.375,13.75,60대 이상
2024-07-22,9.375,2.5,44.375,20.0,60대 이상
2024-07-29,6.25,0,45.625,23.75,60대 이상
2024-08-05,13.75,0,48.125,16.875,60대 이상
2024-08-12,8.75,0,46.875,10.0,60대 이상
2024-08-19,5.625,0,40.0,12.5,60대 이상
2024-08-26,1.875,0.625,41.25,23.75,60대 이상
2024-09-02,4.375,1.25,31.25,16.25,60대 이상
2024-09-09,2.5,0,41.25,11.875,60대 이상
2024-09-16,4.375,0.625,50.625,10.0,60대 이상
2024-09-23,3.125,0.625,51.25,13.75,60대 이상
2024-09-30,6.25,0.625,50.0,16.25,60대 이상
2024-10-07,7.5,0,50.625,11.875,60대 이상
2024-10-14,4.375,0,41.875,13.75,60대 이상
2024-10-21,8.75,2.5,50.625,6.875,60대 이상
2024-10-28,3.75,0,43.125,17.5,60대 이상
2024-11-04,7.5,0.625,50.625,25.625,60대 이상
2024-11-11,4.375,0,50.0,19.375,60대 이상
2024-11-18,10.625,1.875,50.0,18.75,60대 이상
2024-11-25,6.875,0,56.25,31.875,60대 이상
2024-12-02,3.125,1.25,55.625,17.5,60대 이상
2024-12-09,4.375,0.625,61.875,18.125,60대 이상
2024-12-16,5.0,1.875,74.375,12.5,60대 이상
2024-12-23,6.25,0.625,64.375,8.125,60대 이상
2024-12-30,8.125,0,53.75,19.375,60대 이상
2025-01-06,10.0,0,72.5,41.875,60대 이상
2025-01-13,6.25,1.25,51.875,23.75,60대 이상
2025-01-20,4.375,0.625,71.875,18.75,60대 이상
2025-01-27,6.875,0.625,48.125,13.125,60대 이상
2025-02-03,5.625,0,98.75,16.875,60대 이상
2025-02-10,11.25,0,53.125,18.75,60대 이상
